1	 1       	 73024   	 73024   	 0.457 0.1340 1
1	 73025   	 79520   	 6496    	 0.538 0.0923 1
1	 79521   	 82592   	 3072    	 0.298 0.0766 1
1	 82593   	 86208   	 3616    	 0.385 0.0963 1
1	 86209   	 99360   	 13152   	 0.440 0.1297 1
1	 99361   	 104256  	 4896    	 0.532 0.1186 1
1	 104257  	 180864  	 76608   	 0.635 0.1099 1
1	 180865  	 189120  	 8256    	 0.465 0.1350 1
1	 189121  	 203360  	 14240   	 0.642 0.1215 1
1	 203361  	 209504  	 6144    	 0.487 0.1396 1
1	 209505  	 216192  	 6688    	 0.585 0.1312 1
1	 216193  	 285408  	 69216   	 0.653 0.1004 1
1	 285409  	 299808  	 14400   	 0.446 0.1335 1
1	 299809  	 304736  	 4928    	 0.532 0.1315 1
1	 304737  	 308480  	 3744    	 0.549 0.1033 1
1	 308481  	 328800  	 20320   	 0.609 0.1272 1
1	 328801  	 341792  	 12992   	 0.650 0.1044 1
1	 341793  	 346624  	 4832    	 0.526 0.1263 1
1	 346625  	 362176  	 15552   	 0.665 0.1037 1
1	 362177  	 368608  	 6432    	 0.582 0.1343 1
1	 368609  	 376032  	 7424    	 0.664 0.0820 1
1	 376033  	 387424  	 11392   	 0.445 0.1401 1
1	 387425  	 391200  	 3776    	 0.671 0.0857 1
1	 391201  	 397024  	 5824    	 0.698 0.0791 1
1	 397025  	 404384  	 7360    	 0.659 0.1044 1
1	 404385  	 421600  	 17216   	 0.610 0.1169 1
1	 421601  	 425984  	 4384    	 0.647 0.1341 1
1	 425985  	 431488  	 5504    	 0.676 0.0760 1
1	 431489  	 434688  	 3200    	 0.708 0.0795 0
1	 434689  	 468160  	 33472   	 0.560 0.1358 1
1	 468161  	 493376  	 25216   	 0.674 0.0894 0
1	 493377  	 499104  	 5728    	 0.639 0.0866 1
1	 499105  	 506688  	 7584    	 0.564 0.1318 0
1	 506689  	 541280  	 34592   	 0.658 0.0935 1
1	 541281  	 551648  	 10368   	 0.495 0.1175 0
1	 551649  	 557984  	 6336    	 0.618 0.1174 1
1	 557985  	 562880  	 4896    	 0.518 0.1285 1
1	 562881  	 572736  	 9856    	 0.552 0.1196 1
1	 572737  	 580896  	 8160    	 0.485 0.1299 0
1	 580897  	 594464  	 13568   	 0.556 0.1376 0
1	 594465  	 601088  	 6624    	 0.435 0.1376 1
1	 601089  	 604256  	 3168    	 0.682 0.0872 1
1	 604257  	 611584  	 7328    	 0.566 0.1437 1
1	 611585  	 623392  	 11808   	 0.661 0.0886 0
1	 623393  	 630848  	 7456    	 0.526 0.1281 1
1	 630849  	 677152  	 46304   	 0.581 0.1270 1
1	 677153  	 686752  	 9600    	 0.507 0.1374 1
2	 1       	 369152  	 369152  	 0.420 0.1337 1
2	 369153  	 379072  	 9920    	 0.455 0.1380 1
2	 379073  	 382784  	 3712    	 0.551 0.0984 1
2	 382785  	 386464  	 3680    	 0.450 0.1457 1
2	 386465  	 392320  	 5856    	 0.529 0.1107 1
2	 392321  	 398528  	 6208    	 0.464 0.1083 1
2	 398529  	 403808  	 5280    	 0.329 0.0856 0
2	 403809  	 415328  	 11520   	 0.512 0.1576 1
2	 415329  	 418752  	 3424    	 0.466 0.1489 1
2	 418753  	 424000  	 5248    	 0.372 0.1344 1
2	 424001  	 427488  	 3488    	 0.492 0.1098 1
2	 427489  	 433504  	 6016    	 0.537 0.1179 1
2	 433505  	 452000  	 18496   	 0.428 0.1381 1
2	 452001  	 456384  	 4384    	 0.548 0.1509 1
2	 456385  	 459616  	 3232    	 0.459 0.1462 1
2	 459617  	 473344  	 13728   	 0.397 0.1303 1
2	 473345  	 477184  	 3840    	 0.556 0.1371 1
2	 477185  	 482496  	 5312    	 0.443 0.1307 1
2	 482497  	 498944  	 16448   	 0.481 0.1285 1
2	 498945  	 509536  	 10592   	 0.420 0.1297 1
2	 509537  	 515584  	 6048    	 0.502 0.1163 1
2	 515585  	 519360  	 3776    	 0.288 0.0918 1
